COUNTRY,Country,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
FIN,Finland,2010,2010,IDX,Index,0,units,,,1.625,,
FIN,Finland,2011,2011,IDX,Index,0,units,,,1.625,,
FIN,Finland,2012,2012,IDX,Index,0,units,,,1.625,,
FIN,Finland,2013,2013,IDX,Index,0,units,,,1.625,,
FRA,France,2002,2002,IDX,Index,0,units,,,3.375,,
FRA,France,2003,2003,IDX,Index,0,units,,,3.375,,
FRA,France,2004,2004,IDX,Index,0,units,,,3.375,,
FRA,France,2005,2005,IDX,Index,0,units,,,3.375,,
FRA,France,2006,2006,IDX,Index,0,units,,,3.375,,
FRA,France,2007,2007,IDX,Index,0,units,,,3.375,,
FRA,France,2008,2008,IDX,Index,0,units,,,3.375,,
FRA,France,2009,2009,IDX,Index,0,units,,,3.375,,
FRA,France,2010,2010,IDX,Index,0,units,,,3.375,,
FRA,France,2011,2011,IDX,Index,0,units,,,3.375,,
FRA,France,2012,2012,IDX,Index,0,units,,,3.375,,
FRA,France,2013,2013,IDX,Index,0,units,,,3.375,,
GBR,United Kingdom,2002,2002,IDX,Index,0,units,,,2.875,,
GBR,United Kingdom,2003,2003,IDX,Index,0,units,,,2.875,,
GBR,United Kingdom,2004,2004,IDX,Index,0,units,,,2.875,,
GBR,United Kingdom,2005,2005,IDX,Index,0,units,,,2.875,,
GBR,United Kingdom,2006,2006,IDX,Index,0,units,,,2.875,,
GBR,United Kingdom,2007,2007,IDX,Index,0,units,,,2.875,,
GBR,United Kingdom,2008,2008,IDX,Index,0,units,,,2.875,,
GBR,United Kingdom,2009,2009,IDX,Index,0,units,,,2.875,,
GBR,United Kingdom,2010,2010,IDX,Index,0,units,,,2.875,,
GBR,United Kingdom,2011,2011,IDX,Index,0,units,,,2.875,,
GBR,United Kingdom,2012,2012,IDX,Index,0,units,,,2.875,,
GBR,United Kingdom,2013,2013,IDX,Index,0,units,,,2.875,,
GRC,Greece,2002,2002,IDX,Index,0,units,,,3.25,,
GRC,Greece,2003,2003,IDX,Index,0,units,,,3.25,,
GRC,Greece,2004,2004,IDX,Index,0,units,,,3.25,,
GRC,Greece,2005,2005,IDX,Index,0,units,,,3.25,,
GRC,Greece,2006,2006,IDX,Index,0,units,,,3.25,,
GRC,Greece,2007,2007,IDX,Index,0,units,,,3.25,,
GRC,Greece,2008,2008,IDX,Index,0,units,,,3.25,,
GRC,Greece,2009,2009,IDX,Index,0,units,,,3.25,,
GRC,Greece,2010,2010,IDX,Index,0,units,,,3.25,,
GRC,Greece,2011,2011,IDX,Index,0,units,,,3.25,,
GRC,Greece,2012,2012,IDX,Index,0,units,,,3.25,,
GRC,Greece,2013,2013,IDX,Index,0,units,,,3.25,,
HUN,Hungary,2002,2002,IDX,Index,0,units,,,3.375,,
HUN,Hungary,2003,2003,IDX,Index,0,units,,,3.375,,
HUN,Hungary,2004,2004,IDX,Index,0,units,,,3.375,,
HUN,Hungary,2005,2005,IDX,Index,0,units,,,3.375,,
HUN,Hungary,2006,2006,IDX,Index,0,units,,,3.375,,
HUN,Hungary,2007,2007,IDX,Index,0,units,,,3.375,,
HUN,Hungary,2008,2008,IDX,Index,0,units,,,3.375,,
HUN,Hungary,2009,2009,IDX,Index,0,units,,,3.375,,
HUN,Hungary,2010,2010,IDX,Index,0,units,,,3.375,,
HUN,Hungary,2011,2011,IDX,Index,0,units,,,3.375,,
HUN,Hungary,2012,2012,IDX,Index,0,units,,,3.375,,
HUN,Hungary,2013,2013,IDX,Index,0,units,,,3.625,,
IND,India,2008,2008,IDX,Index,0,units,,,0.4375,,
IND,India,2009,2009,IDX,Index,0,units,,,0.4375,,
IND,India,2010,2010,IDX,Index,0,units,,,0.4375,,
IND,India,2011,2011,IDX,Index,0,units,,,0.4375,,
IND,India,2012,2012,IDX,Index,0,units,,,0.4375,,
IRL,Ireland,2002,2002,IDX,Index,0,units,,,2.75,,
IRL,Ireland,2003,2003,IDX,Index,0,units,,,2.75,,
IRL,Ireland,2004,2004,IDX,Index,0,units,,,2.75,,
IRL,Ireland,2005,2005,IDX,Index,0,units,,,2.75,,
IRL,Ireland,2006,2006,IDX,Index,0,units,,,3.5,,
IRL,Ireland,2007,2007,IDX,Index,0,units,,,3.5,,
IRL,Ireland,2008,2008,IDX,Index,0,units,,,3.5,,
IRL,Ireland,2009,2009,IDX,Index,0,units,,,3.5,,
IRL,Ireland,2010,2010,IDX,Index,0,units,,,3.5,,
IRL,Ireland,2011,2011,IDX,Index,0,units,,,3.5,,
IRL,Ireland,2012,2012,IDX,Index,0,units,,,3.5,,
IRL,Ireland,2013,2013,IDX,Index,0,units,,,3.5,,
ISL,Iceland,2008,2008,IDX,Index,0,units,,,3.5,,
ISL,Iceland,2009,2009,IDX,Index,0,units,,,3.5,,
ISL,Iceland,2010,2010,IDX,Index,0,units,,,3.5,,
ISL,Iceland,2011,2011,IDX,Index,0,units,,,3.5,,
ISL,Iceland,2012,2012,IDX,Index,0,units,,,3.5,,
ISL,Iceland,2013,2013,IDX,Index,0,units,,,3.5,,
ISR,Israel,2008,2008,IDX,Index,0,units,,,1.875,,
ISR,Israel,2009,2009,IDX,Index,0,units,,,1.875,,
ISR,Israel,2010,2010,IDX,Index,0,units,,,1.875,,
ISR,Israel,2011,2011,IDX,Index,0,units,,,1.875,,
ISR,Israel,2012,2012,IDX,Index,0,units,,,1.875,,
ISR,Israel,2013,2013,IDX,Index,0,units,,,1.875,,
ITA,Italy,2002,2002,IDX,Index,0,units,,,4.125,,
ITA,Italy,2003,2003,IDX,Index,0,units,,,4.125,,
ITA,Italy,2004,2004,IDX,Index,0,units,,,4.125,,
ITA,Italy,2005,2005,IDX,Index,0,units,,,4.125,,
ITA,Italy,2006,2006,IDX,Index,0,units,,,4.125,,
ITA,Italy,2007,2007,IDX,Index,0,units,,,4.125,,
ITA,Italy,2008,2008,IDX,Index,0,units,,,4.125,,
ITA,Italy,2009,2009,IDX,Index,0,units,,,4.125,,
ITA,Italy,2010,2010,IDX,Index,0,units,,,4.125,,
ITA,Italy,2011,2011,IDX,Index,0,units,,,4.125,,
ITA,Italy,2012,2012,IDX,Index,0,units,,,4.125,,
ITA,Italy,2013,2013,IDX,Index,0,units,,,3.75,,
JPN,Japan,2002,2002,IDX,Index,0,units,,,3.25,,
JPN,Japan,2003,2003,IDX,Index,0,units,,,3.25,,
JPN,Japan,2004,2004,IDX,Index,0,units,,,3.25,,
JPN,Japan,2005,2005,IDX,Index,0,units,,,3.25,,
JPN,Japan,2006,2006,IDX,Index,0,units,,,3.25,,
JPN,Japan,2007,2007,IDX,Index,0,units,,,3.25,,
JPN,Japan,2008,2008,IDX,Index,0,units,,,3.25,,
JPN,Japan,2009,2009,IDX,Index,0,units,,,3.25,,
JPN,Japan,2010,2010,IDX,Index,0,units,,,3.25,,
JPN,Japan,2011,2011,IDX,Index,0,units,,,3.25,,
JPN,Japan,2012,2012,IDX,Index,0,units,,,3.25,,
JPN,Japan,2013,2013,IDX,Index,0,units,,,3.25,,
KOR,Korea,2002,2002,IDX,Index,0,units,,,1.875,,
KOR,Korea,2003,2003,IDX,Index,0,units,,,1.875,,
KOR,Korea,2004,2004,IDX,Index,0,units,,,1.875,,
KOR,Korea,2005,2005,IDX,Index,0,units,,,1.875,,
KOR,Korea,2006,2006,IDX,Index,0,units,,,1.875,,
KOR,Korea,2007,2007,IDX,Index,0,units,,,1.875,,
KOR,Korea,2008,2008,IDX,Index,0,units,,,1.875,,
KOR,Korea,2009,2009,IDX,Index,0,units,,,1.875,,
KOR,Korea,2010,2010,IDX,Index,0,units,,,1.875,,
KOR,Korea,2011,2011,IDX,Index,0,units,,,1.875,,
KOR,Korea,2012,2012,IDX,Index,0,units,,,1.875,,
KOR,Korea,2013,2013,IDX,Index,0,units,,,1.875,,
LUX,Luxembourg,2008,2008,IDX,Index,0,units,,,3.875,,
LUX,Luxembourg,2009,2009,IDX,Index,0,units,,,3.875,,
LUX,Luxembourg,2010,2010,IDX,Index,0,units,,,3.875,,
LUX,Luxembourg,2011,2011,IDX,Index,0,units,,,3.875,,
LUX,Luxembourg,2012,2012,IDX,Index,0,units,,,3.875,,
LUX,Luxembourg,2013,2013,IDX,Index,0,units,,,3.875,,
LVA,Latvia,2012,2012,IDX,Index,0,units,,,3.75,,
LVA,Latvia,2013,2013,IDX,Index,0,units,,,3.75,,
MEX,Mexico,2002,2002,IDX,Index,0,units,,,4.375,,
MEX,Mexico,2003,2003,IDX,Index,0,units,,,4.375,,
MEX,Mexico,2004,2004,IDX,Index,0,units,,,4.375,,
MEX,Mexico,2005,2005,IDX,Index,0,units,,,4.375,,
MEX,Mexico,2006,2006,IDX,Index,0,units,,,4.375,,
MEX,Mexico,2007,2007,IDX,Index,0,units,,,4.375,,
MEX,Mexico,2008,2008,IDX,Index,0,units,,,4.375,,
MEX,Mexico,2009,2009,IDX,Index,0,units,,,4.375,,
MEX,Mexico,2010,2010,IDX,Index,0,units,,,4.375,,
MEX,Mexico,2011,2011,IDX,Index,0,units,,,4.375,,
MEX,Mexico,2012,2012,IDX,Index,0,units,,,4.375,,
MEX,Mexico,2013,2013,IDX,Index,0,units,,,4.375,,
NLD,Netherlands,2002,2002,IDX,Index,0,units,,,3,,
NLD,Netherlands,2003,2003,IDX,Index,0,units,,,3,,
NLD,Netherlands,2004,2004,IDX,Index,0,units,,,3,,
NLD,Netherlands,2005,2005,IDX,Index,0,units,,,3,,
NLD,Netherlands,2006,2006,IDX,Index,0,units,,,3,,
NLD,Netherlands,2007,2007,IDX,Index,0,units,,,3,,
NLD,Netherlands,2008,2008,IDX,Index,0,units,,,3,,
NLD,Netherlands,2009,2009,IDX,Index,0,units,,,3,,
NLD,Netherlands,2010,2010,IDX,Index,0,units,,,3,,
NLD,Netherlands,2011,2011,IDX,Index,0,units,,,3,,
NLD,Netherlands,2012,2012,IDX,Index,0,units,,,3,,
NLD,Netherlands,2013,2013,IDX,Index,0,units,,,3.1875,,
NOR,Norway,2002,2002,IDX,Index,0,units,,,2.5,,
NOR,Norway,2003,2003,IDX,Index,0,units,,,2.5,,
NOR,Norway,2004,2004,IDX,Index,0,units,,,2.5,,
NOR,Norway,2005,2005,IDX,Index,0,units,,,2.5,,
NOR,Norway,2006,2006,IDX,Index,0,units,,,2.5,,
NOR,Norway,2007,2007,IDX,Index,0,units,,,2.5,,
