country,eprc_v1,eprc_v2,eprc_v3,epr_v1,epr_v3,epc,ept_v1,ept_v3,year,primerate,youthrate,oldrate,gdp
AUT,2.369,2.621,"",2.369,"",3.25,1.313,,2004,9.690833484,4.2192030756,4.2192030756,241505.02
AUT,2.369,2.621,"",2.369,"",3.25,1.313,,2004,9.690833484,9.690833484,4.2192030756,241505.02
AUT,2.369,2.621,"",2.369,"",3.25,1.313,,2005,10.3300103128,4.396490549,4.396490549,253009.25
AUT,2.369,2.621,"",2.369,"",3.25,1.313,,2005,10.3300103128,10.3300103128,4.396490549,253009.25
AUT,2.369,2.621,"",2.369,"",3.25,1.313,,2006,9.0552523874,4.1305245766,4.1305245766,266478
AUT,2.369,2.621,"",2.369,"",3.25,1.313,,2006,9.0552523874,9.0552523874,4.1305245766,266478
AUT,2.369,2.621,"",2.369,"",3.25,1.313,,2007,8.6672557787,3.842501476,3.842501476,282346.91
AUT,2.369,2.621,"",2.369,"",3.25,1.313,,2007,8.6672557787,8.6672557787,3.842501476,282346.91
AUT,2.369,2.621,2.442,2.369,2.119,3.25,1.313,2.167,2008,8.0503561372,3.3106561746,3.3106561746,291930.39
AUT,2.369,2.621,2.442,2.369,2.119,3.25,1.313,2.167,2008,8.0503561372,8.0503561372,3.3106561746,291930.39
AUT,2.369,2.621,2.442,2.369,2.119,3.25,1.313,2.167,2009,9.9633455515,4.1880581225,4.1880581225,286188.36
AUT,2.369,2.621,2.442,2.369,2.119,3.25,1.313,2.167,2009,9.9633455515,9.9633455515,4.1880581225,286188.36
AUT,2.369,2.621,2.442,2.369,2.119,3.25,1.313,2.167,2010,8.834492188,3.9668578007,3.9668578007,294207.85
AUT,2.369,2.621,2.442,2.369,2.119,3.25,1.313,2.167,2010,8.834492188,8.834492188,3.9668578007,294207.85
AUT,2.369,2.621,2.442,2.369,2.119,3.25,1.313,2.167,2011,8.3053942583,3.5892534745,3.5892534745,308674.99
AUT,2.369,2.621,2.442,2.369,2.119,3.25,1.313,2.167,2011,8.3053942583,8.3053942583,3.5892534745,308674.99
AUT,2.369,2.621,2.442,2.369,2.119,3.25,1.313,2.167,2012,8.7348376975,3.7855745002,3.7855745002,317213.14
AUT,2.369,2.621,2.442,2.369,2.119,3.25,1.313,2.167,2012,8.7348376975,8.7348376975,3.7855745002,317213.14
AUT,2.369,2.621,2.442,2.369,2.119,3.25,1.313,2.167,2013,9.1635696689,4.4489871428,4.4489871428,322594.57
AUT,2.369,2.621,2.442,2.369,2.119,3.25,1.313,2.167,2013,9.1635696689,9.1635696689,4.4489871428,322594.57
BEL,1.762,"","",1.762,"","",4.625,,1985,23.5377581586,9.4717515803,9.4717515803,127462.007356688E
BEL,1.762,"","",1.762,"","",4.625,,1985,23.5377581586,23.5377581586,9.4717515803,127462.007356688E
BEL,1.762,"","",1.762,"","",4.625,,1986,21.0592686003,9.8026110961,9.8026110961,133415.147405865E
BEL,1.762,"","",1.762,"","",4.625,,1986,21.0592686003,21.0592686003,9.8026110961,133415.147405865E
BEL,1.762,"","",1.762,"","",4.625,,1987,21.4121132324,9.792537184,9.792537184,138791.266681179E
BEL,1.762,"","",1.762,"","",4.625,,1987,21.4121132324,21.4121132324,9.792537184,138791.266681179E
BEL,1.762,"","",1.762,"","",4.625,,1988,18.0634513112,9.1030492284,9.1030492284,148499.223070415E
BEL,1.762,"","",1.762,"","",4.625,,1988,18.0634513112,18.0634513112,9.1030492284,148499.223070415E
BEL,1.762,"","",1.762,"","",4.625,,1989,15.5081261014,7.4961996781,7.4961996781,161022.246387208E
BEL,1.762,"","",1.762,"","",4.625,,1989,15.5081261014,15.5081261014,7.4961996781,161022.246387208E
BEL,1.762,"","",1.762,"","",4.625,,1990,14.4610349765,6.4656149705,6.4656149705,170744.837361289E
BEL,1.762,"","",1.762,"","",4.625,,1990,14.4610349765,14.4610349765,6.4656149705,170744.837361289E
BEL,1.762,"","",1.762,"","",4.625,,1991,13.9967306906,6.2893554413,6.2893554413,178876.439897293E
BEL,1.762,"","",1.762,"","",4.625,,1991,13.9967306906,13.9967306906,6.2893554413,178876.439897293E
BEL,1.762,"","",1.762,"","",4.625,,1992,13.2343717332,6.0948876126,6.0948876126,187833.851149513E
BEL,1.762,"","",1.762,"","",4.625,,1992,13.2343717332,13.2343717332,6.0948876126,187833.851149513E
BEL,1.762,"","",1.762,"","",4.625,,1993,18.4450879929,7.0659559159,7.0659559159,193455.622384715E
BEL,1.762,"","",1.762,"","",4.625,,1993,18.4450879929,18.4450879929,7.0659559159,193455.622384715E
BEL,1.762,"","",1.762,"","",4.625,,1994,21.8469919156,8.4112677791,8.4112677791,203880.673431324E
BEL,1.762,"","",1.762,"","",4.625,,1994,21.8469919156,21.8469919156,8.4112677791,203880.673431324E
BEL,1.762,"","",1.762,"","",4.625,,1995,21.5106829371,8.2594708926,8.2594708926,211291
BEL,1.762,"","",1.762,"","",4.625,,1995,21.5106829371,21.5106829371,8.2594708926,211291
BEL,1.762,"","",1.762,"","",4.625,,1996,20.4744175706,8.5642143043,8.5642143043,215507
BEL,1.762,"","",1.762,"","",4.625,,1996,20.4744175706,20.4744175706,8.5642143043,215507
BEL,1.762,"","",1.762,"","",4.625,,1997,21.2564571202,7.8831548226,7.8831548226,225335
